"","Point est.","Upper C.I."
"contrib.CentAm",1.08164758553312,1.08859514309662
"contrib.MMex",1.00058763196146,1.00068665297802
"frq.CentAm.A3",1.00182620247329,1.00582750862324
"frq.CentAm.Aminus",1.00004954981556,1.00013496155918
"frq.CentAm.Aplus",1.00012709397397,1.00053372262555
"frq.CentAm.E1",1.00016877929336,1.00098536866425
"frq.CentAm.E10",1.00000288379775,1.00021236619562
"frq.CentAm.E13",1.0000874334086,1.00063920782084
"frq.CentAm.E2",1.00000717058781,1.00022293895184
"frq.CentAm.E3",1.00011485804965,1.00016085045454
"frq.CentAm.E4",1.00005989898076,1.0002825759768
"frq.CentAm.E5",1.00004632464478,1.00005379793208
"frq.CentAm.E6",1.00000359075266,1.0000917535045
"frq.CentAm.E7",1.00009320189553,1.00056446311571
"frq.CentAm.F1",1.00032145236853,1.00138134445658
"frq.CentAm.F2",1.0001250456765,1.00082845113362
"frq.CentAm.F3",1.00002499627295,1.00031655618036
"frq.CentAm.F4",1.00021842878638,1.00054823829699
"frq.CentAm.F5",1.00040813818884,1.00176774221129
"frq.CentAm.F6",1.00010790963181,1.00020614677879
"frq.CentAm.F7",1.00073591869343,1.00084976563692
"frq.CentAm.H35",1.00029267298576,1.00116668059571
"frq.CentAm.H36",0.999977067686891,0.999980158726359
"frq.CentAm.SP90",1.00012827892573,1.00073834410032
"frq.MMex.A3",0.999964561846872,0.999973659357593
"frq.MMex.Aminus",0.999980123216452,0.999987389960393
"frq.MMex.Aplus",0.999975926534859,1.00006812575063
"frq.MMex.E1",1.00019071448921,1.0011576784547
"frq.MMex.E10",1.00008889491303,1.00030938646748
"frq.MMex.E13",1.00008207640932,1.00061268581062
"frq.MMex.E2",1.00004432028768,1.00004960190914
"frq.MMex.E3",1.00027430621447,1.0015687226946
"frq.MMex.E4",1.00030351955736,1.00139573939033
"frq.MMex.E5",1.0001525919401,1.00037356002435
"frq.MMex.E6",1.0001597531356,1.00099869894827
"frq.MMex.E7",0.999960766865959,1.00000409279493
"frq.MMex.F1",1.00014230939462,1.00089190183346
"frq.MMex.F2",1.00012429903425,1.0007774840163
"frq.MMex.F3",0.999952496294497,0.999957504285675
"frq.MMex.F4",0.999964461692459,1.00001678330727
"frq.MMex.F5",1.00028290834965,1.00043374470392
"frq.MMex.F6",1.00000523669655,1.00000624518952
"frq.MMex.F7",1.00022403853007,1.00038956140327
"frq.MMex.H35",0.999964799111188,0.999973592355201
"frq.MMex.H36",1.00009742588304,1.00068020509486
"frq.MMex.SP90",1.00013922131361,1.00067852547162
